"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","N5","11-Oct-2019","      11394.00","      11400.00","      11430.00","      11400.00","      11430.00","      11428.66","      11418.60","        596","             6805485.65","         59","        583","         97.82"
"SBIN","N6","11-Oct-2019","      11150.00","      11375.00","      11375.00","      11249.99","      11249.99","      11249.99","      11333.33","          3","               33999.99","          3","          2","         66.67"
"SBIN","EQ","14-Oct-2019","        254.55","        256.95","        259.40","        254.00","        255.30","        255.45","        257.29","   28265136","          7272416952.35","     179273","    4441315","         15.71"
"SBIN","N2","14-Oct-2019","      11300.00","      11305.00","      11305.00","      11305.00","      11305.00","      11305.00","      11305.00","          2","               22610.00","          2","          0","          0.00"
"SBIN","N5","14-Oct-2019","      11428.66","      11400.00","      11474.98","      11400.00","      11421.01","      11425.16","      11439.28","        492","             5628127.37","         64","        426","         86.59"
"SBIN","EQ","15-Oct-2019","        255.45","        256.45","        259.90","        254.80","        258.50","        258.45","        257.06","   23444973","          6026737032.10","     158570","    3020988","         12.89"
"SBIN","N2","15-Oct-2019","      11305.00","      11310.20","      11310.20","      11310.00","      11310.00","      11310.00","      11310.03","          6","               67860.20","          2","          6","        100.00"
"SBIN","N5","15-Oct-2019","      11425.16","      11474.96","      11474.96","      11421.00","      11440.10","      11443.46","      11441.39","        305","             3489623.04","         32","        295","         96.72"
"SBIN","N6","15-Oct-2019","      11249.99","      11150.00","      11152.01","      11150.00","      11152.01","      11152.01","      11150.18","         11","              122652.01","          2","         11","        100.00"
"SBIN","EQ","16-Oct-2019","        258.45","        259.30","        261.95","        255.00","        255.95","        256.05","        258.26","   30892295","          7978237658.70","     208840","    5747423","         18.60"
"SBIN","N2","16-Oct-2019","      11310.00","      11340.00","      11341.00","      11340.00","      11341.00","      11340.50","      11340.50","          2","               22681.00","          2","          0","          0.00"
"SBIN","N5","16-Oct-2019","      11443.46","      11473.99","      11480.00","      11441.15","      11470.05","      11471.93","      11465.97","        249","             2855027.25","         51","        212","         85.14"
"SBIN","EQ","17-Oct-2019","        256.05","        256.40","        266.00","        255.60","        265.30","        265.45","        261.38","   37061013","          9686892846.25","     252073","    9998027","         26.98"
"SBIN","N2","17-Oct-2019","      11340.50","      11191.00","      11250.00","      11187.00","      11250.00","      11250.00","      11212.26","        193","             2163967.00","         23","        157","         81.35"
"SBIN","N5","17-Oct-2019","      11471.93","      11485.00","      11498.99","      11485.00","      11498.99","      11495.97","      11493.12","        119","             1367681.05","         20","        106","         89.08"
"SBIN","N6","17-Oct-2019","      11152.01","      11160.10","      11160.10","      11160.10","      11160.10","      11160.10","      11160.10","          1","               11160.10","          1","          1","        100.00"
"SBIN","EQ","18-Oct-2019","        265.45","        264.40","        271.35","        263.20","        269.20","        269.65","        268.50","   33203721","          8915263047.70","     203094","    9219181","         27.77"
"SBIN","N2","18-Oct-2019","      11250.00","      11240.00","      11300.00","      11180.10","      11300.00","      11299.50","      11219.97","         39","              437578.90","          9","         38","         97.44"
"SBIN","N5","18-Oct-2019","      11495.97","      11465.00","      11499.95","      11461.00","      11499.95","      11498.77","      11480.90","        288","             3306498.01","         38","        277","         96.18"
"SBIN","EQ","22-Oct-2019","        269.65","        270.40","        275.00","        268.50","        270.35","        270.50","        272.33","   27574295","          7509443390.80","     187557","    6670825","         24.19"
"SBIN","N2","22-Oct-2019","      11299.50","      11298.99","      11345.00","      11298.99","      11340.00","      11341.26","      11340.30","        139","             1576301.98","         14","        139","        100.00"
"SBIN","N5","22-Oct-2019","      11498.77","      11498.77","      11565.00","      11498.77","      11565.00","      11565.00","      11540.26","        183","             2111866.98","         35","        181","         98.91"
"SBIN","N6","22-Oct-2019","      11160.10","      11270.00","      11270.00","      11270.00","      11270.00","      11270.00","      11270.00","          1","               11270.00","          1","          1","        100.00"
"SBIN","EQ","23-Oct-2019","        270.50","        270.75","        277.80","        268.65","        275.35","        275.45","        274.85","   31789622","          8737276546.00","     209460","    5801774","         18.25"
"SBIN","N2","23-Oct-2019","      11341.26","      11350.00","      11370.00","      11301.00","      11370.00","      11316.18","      11316.18","         11","              124478.00","          4","          9","         81.82"
"SBIN","N5","23-Oct-2019","      11565.00","      11556.00","      11573.00","      11530.00","      11573.00","      11573.00","      11559.74","        206","             2381307.05","         25","        206","        100.00"
"SBIN","N6","23-Oct-2019","      11270.00","      11275.00","      11275.00","      11275.00","      11275.00","      11275.00","      11275.00","         24","              270600.00","          5","         22","         91.67"
"SBIN","EQ","24-Oct-2019","        275.45","        276.00","        277.65","        248.65","        263.05","        262.50","        266.02","   63943183","         17009984318.95","     434945","   13170984","         20.60"
"SBIN","N2","24-Oct-2019","      11316.18","      11341.00","      11341.00","      11341.00","      11341.00","      11341.00","      11341.00","         26","              294866.00","          4","         26","        100.00"
"SBIN","N5","24-Oct-2019","      11573.00","      11589.00","      11598.30","      11575.00","      11586.00","      11589.07","      11587.28","        263","             3047455.75","         36","        258","         98.10"
"SBIN","N6","24-Oct-2019","      11275.00","      11211.00","      11211.00","      11211.00","      11211.00","      11211.00","      11211.00","          1","               11211.00","          1","          1","        100.00"
"SBIN","EQ","25-Oct-2019","        262.50","        265.80","        284.15","        263.55","        282.35","        281.55","        276.42","  105518180","         29166864833.55","     598440","   15046974","         14.26"
"SBIN","N2","25-Oct-2019","      11341.00","      11361.00","      11361.00","      11361.00","      11361.00","      11361.00","      11361.00","          5","               56805.00","          1","          5","        100.00"
"SBIN","N5","25-Oct-2019","      11589.07","      11426.00","      11646.99","      11426.00","      11610.00","      11593.15","      11596.38","        574","             6656320.20","         48","        562","         97.91"
"SBIN","N6","25-Oct-2019","      11211.00","      11151.00","      11151.00","      11151.00","      11151.00","      11151.00","      11151.00","          2","               22302.00","          2","          2","        100.00"
"SBIN","EQ","27-Oct-2019","        281.55","        284.95","        284.95","        280.25","        281.30","        281.80","        282.94","   12185529","          3447723848.95","      98481","    3169728","         26.01"
"SBIN","N5","27-Oct-2019","      11593.15","      11500.00","      11649.99","      11500.00","      11634.80","      11610.20","      11599.91","         89","             1032392.15","         19","         85","         95.51"
"SBIN","EQ","29-Oct-2019","        281.80","        283.15","        285.00","        278.55","        280.80","        280.65","        282.21","   51033578","         14402275121.35","     272560","   16607377","         32.54"
"SBIN","N2","29-Oct-2019","      11361.00","      11172.00","      11399.95","      11172.00","      11340.00","      11340.00","      11306.11","         18","              203509.95","          7","         12","         66.67"
"SBIN","N5","29-Oct-2019","      11610.20","      11660.00","      11660.00","      11621.00","      11649.00","      11644.15","      11645.39","        118","             1374155.59","         22","         93","         78.81"
"SBIN","N6","29-Oct-2019","      11151.00","      11190.00","      11225.00","      11190.00","      11210.00","      11210.00","      11206.80","          5","               56034.00","          4","          2","         40.00"
"SBIN","EQ","30-Oct-2019","        280.65","        283.00","        291.00","        279.25","        290.40","        289.90","        286.86","   51469048","         14764266108.20","     306035","   15135958","         29.41"
"SBIN","N2","30-Oct-2019","      11340.00","      11168.00","      11340.00","      11168.00","      11340.00","      11340.00","      11312.10","         31","              350675.00","          7","         26","         83.87"
"SBIN","N5","30-Oct-2019","      11644.15","      11621.00","      11645.00","      11621.00","      11645.00","      11645.00","      11640.23","        187","             2176722.65","         27","        177","         94.65"
"SBIN","N6","30-Oct-2019","      11210.00","      11280.00","      11280.00","      11280.00","      11280.00","      11280.00","      11280.00","         18","              203040.00","          4","         18","        100.00"
"SBIN","EQ","31-Oct-2019","        289.90","        293.35","        317.80","        292.75","        312.50","        312.40","        307.08","  128449327","         39443633461.05","     656753","   38876272","         30.27"
"SBIN","N2","31-Oct-2019","      11340.00","      11399.90","      11399.90","      11390.00","      11390.00","      11390.00","      11394.95","          2","               22789.90","          2","          2","        100.00"
"SBIN","N5","31-Oct-2019","      11645.00","      11651.00","      11680.00","      11651.00","      11671.00","      11671.00","      11665.43","        119","             1388185.74","         23","         83","         69.75"
"SBIN","N6","31-Oct-2019","      11280.00","      11200.00","      11378.75","      11200.00","      11299.00","      11299.00","      11287.66","         64","              722410.25","         17","         42","         65.63"
"SBIN","EQ","01-Nov-2019","        312.40","        312.40","        315.00","        308.60","        313.60","        313.55","        312.59","   44894016","         14033199010.90","     306655","    9814076","         21.86"
"SBIN","N2","01-Nov-2019","      11390.00","      11400.00","      11401.00","      11400.00","      11401.00","      11401.00","      11400.40","         10","              114004.00","          4","         10","        100.00"
"SBIN","N5","01-Nov-2019","      11671.00","      11680.00","      11700.00","      11680.00","      11700.00","      11699.54","      11690.61","        327","             3822831.07","         25","        322","         98.47"
