"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ITC","EQ","08-Aug-2019","        253.65","        255.00","        258.70","        253.00","        257.80","        257.75","        255.73","    6370866","          1629216822.80","      80996","    2923712","         45.89"
"ITC","EQ","09-Aug-2019","        257.75","        258.85","        258.85","        253.50","        254.30","        254.20","        254.99","    9927337","          2531375699.10","     125800","    6251375","         62.97"
"ITC","EQ","13-Aug-2019","        254.20","        253.80","        254.00","        244.00","        244.65","        246.30","        247.57","   20992894","          5197126507.90","     159332","   14791680","         70.46"
"ITC","EQ","14-Aug-2019","        246.30","        246.30","        253.60","        244.05","        248.60","        248.75","        249.79","   13809031","          3449376051.10","     111724","    8491583","         61.49"
"ITC","EQ","16-Aug-2019","        248.75","        248.75","        253.40","        247.40","        252.65","        253.00","        251.44","   10337358","          2599188988.70","     102350","    5984592","         57.89"
"ITC","EQ","19-Aug-2019","        253.00","        253.50","        257.30","        250.95","        251.60","        251.55","        254.36","   12524627","          3185723605.90","     137418","    7601783","         60.69"
"ITC","EQ","20-Aug-2019","        251.55","        251.60","        251.95","        245.45","        246.85","        246.50","        247.35","   15000271","          3710338930.80","     184129","   10768637","         71.79"
"ITC","EQ","21-Aug-2019","        246.50","        246.70","        246.90","        240.85","        242.30","        241.45","        242.98","   14736226","          3580673511.10","     158073","    9838812","         66.77"
"ITC","EQ","22-Aug-2019","        241.45","        242.20","        246.00","        239.00","        240.00","        240.05","        242.66","   10513066","          2551108535.80","     176021","    4645849","         44.19"
"ITC","EQ","23-Aug-2019","        240.05","        239.00","        239.45","        234.65","        236.45","        236.10","        236.55","   16440329","          3888935330.75","     166327","   10156459","         61.78"
"ITC","EQ","26-Aug-2019","        236.10","        240.70","        243.45","        234.95","        242.00","        242.50","        240.73","   12857092","          3095031740.25","     125210","    6415549","         49.90"
"ITC","EQ","27-Aug-2019","        242.50","        243.95","        246.30","        242.70","        246.00","        245.50","        245.22","   14529777","          3562960814.55","     186669","   10404417","         71.61"
"ITC","EQ","28-Aug-2019","        245.50","        246.15","        247.65","        243.10","        245.60","        245.95","        245.55","    8894489","          2184017013.00","     113351","    5401010","         60.72"
"ITC","EQ","29-Aug-2019","        245.95","        243.95","        245.45","        240.15","        241.65","        241.20","        242.37","   11105245","          2691537752.30","      90760","    8139663","         73.30"
"ITC","EQ","30-Aug-2019","        241.20","        242.75","        247.20","        239.05","        245.50","        245.65","        244.01","   11772247","          2872586766.60","     115940","    5516134","         46.86"
"ITC","EQ","03-Sep-2019","        245.65","        244.45","        244.45","        240.65","        241.20","        241.55","        242.18","    9546229","          2311866646.95","      85296","    5698348","         59.69"
"ITC","EQ","04-Sep-2019","        241.55","        241.60","        244.55","        241.30","        241.85","        243.25","        243.17","    7032392","          1710038856.25","     118139","    3503070","         49.81"
"ITC","EQ","05-Sep-2019","        243.25","        242.00","        246.90","        242.00","        244.30","        244.25","        244.46","    8451611","          2066110939.80","      79361","    4230957","         50.06"
"ITC","EQ","06-Sep-2019","        244.25","        244.30","        245.85","        243.25","        244.00","        243.90","        244.19","    8704669","          2125634185.35","      75591","    6141644","         70.56"
"ITC","EQ","09-Sep-2019","        243.90","        244.65","        246.50","        243.20","        245.70","        245.50","        245.47","    9085228","          2230173096.80","      65072","    5937040","         65.35"
"ITC","EQ","11-Sep-2019","        245.50","        244.60","        245.45","        243.00","        243.30","        243.75","        243.89","    8968683","          2187402276.20","     113631","    6188043","         69.00"
"ITC","EQ","12-Sep-2019","        243.75","        244.30","        245.00","        240.00","        240.80","        240.75","        242.19","    8083759","          1957830549.35","     134914","    4522034","         55.94"
"ITC","EQ","13-Sep-2019","        240.75","        241.00","        242.45","        238.60","        240.10","        239.90","        240.31","   14031943","          3372033292.00","     105649","    9046432","         64.47"
"ITC","EQ","16-Sep-2019","        239.90","        239.50","        240.85","        238.30","        239.20","        239.40","        239.29","    7084644","          1695314638.80","     111124","    3809711","         53.77"
"ITC","EQ","17-Sep-2019","        239.40","        239.80","        240.10","        236.80","        237.05","        237.20","        238.09","   10672279","          2540966838.50","     157813","    7158821","         67.08"
"ITC","EQ","18-Sep-2019","        237.20","        237.70","        242.30","        234.05","        238.90","        239.25","        237.53","   19956339","          4740300872.75","     175188","    8881408","         44.50"
"ITC","EQ","19-Sep-2019","        239.25","        239.95","        239.95","        236.10","        236.40","        236.70","        237.42","    8483309","          2014100136.10","      92944","    4118383","         48.55"
"ITC","EQ","20-Sep-2019","        236.70","        237.00","        248.50","        234.30","        237.30","        238.05","        240.62","   63568127","         15295471893.20","     323826","   42129257","         66.27"
"ITC","EQ","23-Sep-2019","        238.05","        250.00","        260.50","        249.90","        255.00","        254.85","        255.71","   52040316","         13307304241.55","     375452","   29542725","         56.77"
"ITC","EQ","24-Sep-2019","        254.85","        255.00","        258.00","        253.80","        256.20","        256.00","        255.96","   17167257","          4394088603.45","     195587","   10183086","         59.32"
"ITC","BL","25-Sep-2019","        298.90","        256.00","        256.00","        256.00","        256.00","        256.00","        256.00","    1138578","           291475968.00","          1","-","-"
"ITC","EQ","25-Sep-2019","        256.00","        255.10","        256.25","        242.70","        245.00","        247.55","        251.89","   20597095","          5188141843.00","     200544","   12420696","         60.30"
"ITC","EQ","26-Sep-2019","        247.55","        247.30","        251.40","        246.25","        250.35","        250.40","        249.43","   17847616","          4451751495.65","     143966","    8718967","         48.85"
"ITC","EQ","27-Sep-2019","        250.40","        250.00","        258.00","        250.00","        253.80","        252.95","        254.55","   17535666","          4463779737.30","     150087","    6314167","         36.01"
"ITC","EQ","30-Sep-2019","        252.95","        254.75","        260.80","        249.40","        259.15","        259.85","        256.60","   20588289","          5282974860.25","     146670","   10766287","         52.29"
